ID_COORD,original_lat,original_long,lat2,long2
283,00°36°60.50S,077°53°13.3W,-0.6,-77.8833333333333
284,00°35°51.1S,077°53°05.1W,-0.583333333333333,-77.8833333333333
285,00°36°05.5S,077°53°37.3W,-0.6,-77.8833333333333
286,00°35.621S,077°54.033W,-0.583333333333333,-77.9
287,00°36.269S,077°53.287W,-0.6,-77.8881166666667
288,00°36.297S,077°53.349W,-0.60495,-77.88915
289,00°31.940S,077°52.421W,-0.532333333333333,-77.8736833333333
290,00°36.031S,077°53.242W,-0.600516666666667,-77.8873666666667
291,00°35.117S,077°52.523W,-0.585283333333333,-77.8753833333333
292,"00°34'76.60""S","77°52'52.0""W",-0.566666666666667,-77.8666666666667
293,"00°62'57""S","77°85'04.1""W",-1.03333333333333,-78.4166666666667
294,"00°61'66.4""S","77°88'28.6""W",-1.01666666666667,-78.4666666666667
295,"00°61'62.1""S","77°88'25.7""W",-1.01666666666667,-78.4666666666667
296,"00°65'59.0""S","77°88'21.4""W",-1.08333333333333,-78.4666666666667
297,"00°61'58.8""S","77°88'21.7""W",-1.01666666666667,-78.4666666666667
298,"00°59'73.1""S","77°89'32.4""W",-0.983333333333333,-78.4833333333333
299,"00°59'58.8""S","77°89'31.7""W",-0.983333333333333,-78.4833333333333
300,"00°59'37""S","77°87'76""W",-0.983333333333333,-78.45
301,"00°35'17""S","77°52'38""W",-0.583333333333333,-77.8666666666667
302,"00°35'56""S","77°53'33""W",-0.583333333333333,-77.8833333333333
303,"00°35'33""S","77°53'13""W",-0.583333333333333,-77.8833333333333
304,"00°35'30""S","77°53'3""W",-0.583333333333333,-77.8833333333333
305,"00°35'58""S","77°53'21""W",-0.583333333333333,-77.8833333333333
306,"00°35'60""S","77°53'21""W",-0.583333333333333,-77.8833333333333
307,"00°36'1""S","77°53'20""W",-0.6,-77.8833333333333
308,"00°35'57""S","77°53'30""W",-0.583333333333333,-77.8833333333333
309,"00°34'31""S","77°52'12""W",-0.566666666666667,-77.8666666666667
310,"00°34'30""S","77°52'13""W",-0.566666666666667,-77.8666666666667
311,"00°35'50""S","77°53'39""W",-0.583333333333333,-77.8833333333333
312,"00°35'49""S","77°53'40""W",-0.583333333333333,-77.8833333333333
313,"00°35'54""S","77°53'35""W",-0.583333333333333,-77.8833333333333
314,"00°35'9""S","77°52'42""W",-0.583333333333333,-77.8666666666667
315,"00°35'7""S","77°52'42""W",-0.583333333333333,-77.8666666666667
316,"00°35'57""S","77°53'31""W",-0.583333333333333,-77.8833333333333
317,"00°35'53""S","77°53'41""W",-0.583333333333333,-77.8833333333333
318,"00°36'02.1""S","77°53'24.27""W",-0.6,-77.8833333333333
319,"00°36'02.16""S","77°53'24.27""W",-0.6,-77.8833333333333
320,"00°36'00.95""S","77°53'24.51""W",-0.6,-77.8833333333333
321,"00°36'02.29""S","77°53'15.54""W",-0.6,-77.8833333333333
322,"00°36'03.72""S","77°53'18.76""W",-0.6,-77.8833333333333
323,"00°36'05.09""S","77°53'18.44""W",-0.6,-77.8833333333333
324,"00°36'05.07""S","77°53'15.89""W",-0.6,-77.8833333333333
325,"00°36'02.62""S","77°53'12.34""W",-0.6,-77.8833333333333
326,"00°36'10.07""S","77°53'21.28""W",-0.6,-77.8833333333333
327,"00°36'08.75""S","77°53'19.04""W",-0.6,-77.8833333333333
328,"00°36'18.41""S","77°53'22.61""W",-0.6,-77.8833333333333
329,"00°36'19.45""S","77°53'21.23""W",-0.6,-77.8833333333333
330,"00°36'17.56""S","77°53'15.54""W",-0.6,-77.8833333333333
331,"00°36'14.88""S","77°53'15.15""W",-0.6,-77.8833333333333
332,"00°36'16.71""S","77°53'11.21""W",-0.6,-77.8833333333333
333,"00°36'14.61""S","77°53'10.82""W",-0.6,-77.8833333333333
334,"00°34'57.07""S","77°52'32.25""W",-0.566666666666667,-77.8666666666667
335,"00°35'11.48""S","77°52'43.74""W",-0.583333333333333,-77.8666666666667
336,"00°35'49.85""S","77°53'21.44""W",-0.583333333333333,-77.8833333333333
337,"00°35'50.61""S","77°53'26.72""W",-0.583333333333333,-77.8833333333333
338,"00°35'49.81""S","77°53'28.67""W",-0.583333333333333,-77.8833333333333
339,"00°19'27""S","78°12'2""W",-0.316666666666667,-78.2
340,"00°20'3""S","78°11'47""W",-0.333333333333333,-78.1833333333333
341,"00°19'58""S","78°11'32""W",-0.316666666666667,-78.1833333333333
342,"00°19'55.04""S","78°11'13.31""W",-0.316666666666667,-78.1833333333333
348,"1°2'25""S","77°44'2""W",-1.03333333333333,-77.7333333333333
349,"1°2'25""S","77°44'3""W",-1.03333333333333,-77.7333333333333
350,"1°3'10""S","77°41'26""W",-1.05,-77.6833333333333
351,"1°3'9""S","77°41'26""W",-1.05,-77.6833333333333
352,"1°3'8""S","77°41'27""W",-1.05,-77.6833333333333
353,"1°3'58""S","77°41'54""W",-1.05,-77.6833333333333
354,"01°03'11.35""S","77°41'50.33""W",-1.05,-77.6833333333333
355,"01°03'11.02""S","77°71'50.21""W",-1.05,-78.1833333333333
356,"01°03'10.8""S","77°71'5.38""W",-1.05,-78.1833333333333
